Proteome	McrA Hits	HSP70 Hits
Proteome_01	0		4
Proteome_02	0		2
Proteome_03	1		3
Proteome_04	0		4
Proteome_05	1		2
Proteome_06	0		0
Proteome_07	1		2
Proteome_08	0		5
Proteome_09	0		1
Proteome_10	0		3
Proteome_11	0		6
Proteome_12	0		6
Proteome_13	0		3
Proteome_14	0		2
Proteome_15	1		1
Proteome_16	1		1
Proteome_17	0		4
Proteome_18	0		8
Proteome_19	2		1
Proteome_20	0		3
Proteome_21	0		5
Proteome_22	0		9
Proteome_23	2		2
Proteome_24	1		2
Proteome_25	0		5
Proteome_26	0		1
Proteome_27	0		1
Proteome_28	0		1
Proteome_29	1		0
Proteome_30	0		1
Proteome_31	0		7
Proteome_32	0		4
Proteome_33	0		0
Proteome_34	0		2
Proteome_35	0		1
Proteome_36	0		3
Proteome_37	0		1
Proteome_38	1		1
Proteome_39	1		1
Proteome_40	0		2
Proteome_41	0		1
Proteome_42	1		3
Proteome_43	0		3
Proteome_44	1		1
Proteome_45	1		3
Proteome_46	0		2
Proteome_47	0		1
Proteome_48	1		1
Proteome_49	0		3
Proteome_50	1		3
